center_id,training_status,equipment_status,quality_agreement,qualified_until,system_status
TC-US-ATL-01,EXPIRED,DUE,PENDING,2026-09-01,EXPIRING
TC-US-BOS-02,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-US-SF-03,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-US-CHI-04,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-GB-LON-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-GB-MAN-02,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-DE-BER-01,EXPIRED,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-DE-MUC-02,CURRENT,CURRENT,SIGNED,2026-09-01,EXPIRING
TC-FR-PAR-01,CURRENT,DUE,SIGNED,2026-12-31,QUALIFIED
TC-NL-AMS-01,CURRENT,CURRENT,PENDING,2026-12-31,QUALIFIED
TC-ES-MAD-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-IT-MIL-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-JP-TYO-01,EXPIRED,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-JP-OSA-02,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-SG-SIN-01,CURRENT,CURRENT,SIGNED,2026-09-01,EXPIRING
TC-AU-SYD-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-AU-MEL-02,CURRENT,DUE,SIGNED,2026-12-31,QUALIFIED
TC-AE-DXB-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-CA-TOR-01,EXPIRED,CURRENT,PENDING,2026-12-31,QUALIFIED
TC-CA-VAN-02,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-CH-ZRH-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-SE-STO-01,CURRENT,CURRENT,SIGNED,2026-09-01,EXPIRING
TC-BE-BRU-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
TC-IN-BLR-01,CURRENT,CURRENT,SIGNED,2026-12-31,QUALIFIED
