shipment_id,issue,status,owner
SHP-O-00001,TEMP_SENSOR,OPEN,vendor
SHP-R-00027,CUSTOMS,OPEN,vendor
SHP-O-00054,HANDOFF,OPEN,
SHP-R-00080,TEMP_SENSOR,OPEN,
SHP-O-00107,HANDOFF,OPEN,ops
SHP-R-00133,CUSTOMS,CLOSED,
SHP-O-00160,FLIGHT,OPEN,ops
SHP-R-00186,FLIGHT,OPEN,ops
SHP-O-00213,HANDOFF,OPEN,
SHP-R-00239,TEMP_SENSOR,OPEN,vendor
SHP-O-00266,HANDOFF,OPEN,ops
SHP-R-00292,HANDOFF,OPEN,
SHP-O-00319,FLIGHT,OPEN,ops
SHP-R-00345,FLIGHT,CLOSED,ops
SHP-O-00372,TEMP_SENSOR,OPEN,ops
SHP-R-00398,CUSTOMS,CLOSED,
SHP-O-00425,FLIGHT,CLOSED,
SHP-R-00451,FLIGHT,OPEN,ops
SHP-O-00478,FLIGHT,CLOSED,vendor
SHP-R-00504,FLIGHT,OPEN,vendor
SHP-O-00531,FLIGHT,CLOSED,vendor
SHP-R-00557,TEMP_SENSOR,CLOSED,vendor
SHP-O-00584,HANDOFF,OPEN,vendor
SHP-R-00610,TEMP_SENSOR,OPEN,vendor
SHP-O-00637,FLIGHT,OPEN,ops
SHP-R-00663,HANDOFF,OPEN,vendor
SHP-O-00690,TEMP_SENSOR,OPEN,ops
SHP-R-00716,HANDOFF,OPEN,vendor
SHP-O-00743,CUSTOMS,CLOSED,
SHP-R-00769,FLIGHT,CLOSED,vendor
SHP-O-00796,CUSTOMS,CLOSED,vendor
