entry_path,relative_path,classification,size_bytes,compressed_bytes,sha256,listed_in_internal_manifest,internal_manifest_match
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/.cursor/rules/cgt-fde.mdc,.cursor/rules/cgt-fde.mdc,repository_support,666,418,485a8e787745a95f91d72823f9b06b952ef4581519cfadec8729a10efe68e602,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/.env.example,.env.example,repository_support,128,122,0943f32e2fa79051bd46dd8dd3a8fb8ca9b4f2c588ad5a0f45251ea54a3bf043,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/.gitignore,.gitignore,repository_support,46,41,1f2bc61f4a04b87fd1042157cc2c37abf5406cf95fa1a9b68387572c8a4eb98b,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/AGENTS.md,AGENTS.md,governance_context,1562,835,57613239e4e2bc0adaebf091cc8442bbf5bd3476e7090f9b25397db5962a3025,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/Dockerfile,Dockerfile,repository_support,238,185,75c8be01371c848329871b6214eb7a846ff9124bae308dfd2f1cafda26dd9812,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/LICENSE-SYNTHETIC-TRAINING.txt,LICENSE-SYNTHETIC-TRAINING.txt,repository_support,122,95,b1ebbbebf0a435f5f88a4fd8b68c664c03a20c3ff2493f2731eea5686bc1b7c6,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/Makefile,Makefile,repository_support,300,177,43f3148bb222ee9798fd45c80d2a63edf95887bfaaa2f00512dbabb1df1538fe,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/README.md,README.md,governance_context,4737,2340,24269986420d446905b5cf216eb1bef6b125979475d085da770d36977992e00f,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/VERIFICATION.md,VERIFICATION.md,governance_context,1307,719,22adb1766f58bbd5a9efb314a61e5a26fadff82267c4fa53dd510a335a703bb6,False,
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/checksums.sha256,checksums.sha256,repository_support,12433,6340,774654a959ec0bd828abb3ee7fab62e89f65c0d0f882badb6ad93ee3bf0c8375,False,
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/contracts/api_v1.yaml,contracts/api_v1.yaml,interface_evidence,265,175,65e5568d037f0b05a770875f8a8a0c4a2f0306db4be6b17f3e2ec48d4116ef97,True,True
